代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),3日涨跌,技术评分,综合评分,板块,所属行业
603823,百合花,2,95.72,22.99,20.97,19.42,17.87,4.5,1.73,↑,60,108.6,上交所,化学制品
603163,圣晖集成,2,122.08,122.08,111.0,107.19,106.13,5.43,1.52,↑,60,107.6,上交所,专业工程
603726,朗迪集团,3,55.69,28.63,27.98,27.12,25.37,5.26,0.91,↑,40,104.6,上交所,家电零部
603931,格林达,3,87.95,48.41,45.85,44.35,39.06,4.62,0.74,↑,40,103.7,上交所,电子化学
600714,金瑞矿业,3,79.88,27.54,26.22,24.85,21.9,7.94,0.72,↑,40,103.6,上交所,化学原料
603895,天永智能,2,39.45,39.86,39.01,35.72,32.37,4.95,1.48,↑,55,102.4,上交所,专用设备
688419,耐科装备,2,63.16,55.14,47.66,46.19,46.0,4.78,1.47,↑,55,102.3,科创板,半导体
603610,麒盛科技,2,66.5,19.07,18.65,17.69,16.86,6.11,2.47,↓,50,102.3,上交所,家居用品
603380,易德龙,2,69.15,43.1,38.76,38.23,37.23,3.67,1.35,↑,55,101.8,上交所,消费电子
000600,建投能源,2,118.6,10.88,10.1,10.0,9.69,5.84,1.29,↑,55,101.4,深交所,电力
300616,尚品宅配,3,28.68,18.48,16.11,15.79,14.74,9.76,0.93,↑,35,99.7,创业板,家居用品
688260,昀冢科技,3,70.93,59.11,51.84,48.17,40.1,8.45,0.81,↑,35,99.1,科创板,消费电子
600992,贵绳股份,2,31.86,12.78,12.43,12.22,12.1,8.37,1.34,↑,50,96.7,上交所,通用设备
